Date,History
11/18/2014,19190
11/19/2014,12570
11/20/2014,16900
11/21/2014,6440
11/22/2014,17120
11/23/2014,10140
11/24/2014,9840
11/25/2014,10640
11/26/2014,14740
11/27/2014,13990
11/28/2014,17180
11/29/2014,-
11/30/2014,700
12/1/2014,16170
12/2/2014,14210
12/3/2014,9110
12/4/2014,15810
12/5/2014,23700
12/6/2014,24720
12/7/2014,13110
12/8/2014,20260
12/9/2014,23540
12/10/2014,18960
12/11/2014,20850
12/12/2014,21940
12/13/2014,30790
12/14/2014,5720
12/15/2014,15850
12/16/2014,18610
12/17/2014,10580
12/18/2014,23180
12/19/2014,18460
12/20/2014,9080
12/21/2014,14030
12/22/2014,10770
12/23/2014,6240
12/24/2014,7180
12/25/2014,15500
12/26/2014,14040
12/27/2014,13400
12/28/2014,8090
12/29/2014,13780
12/30/2014,25690
12/31/2014,17810
1/1/2015,12520
1/2/2015,11830
1/3/2015,13390
1/4/2015,13740
1/5/2015,24450
1/6/2015,23000
1/7/2015,17170
1/8/2015,12980
1/9/2015,7870
1/10/2015,15530
1/11/2015,10880
1/12/2015,5670
1/13/2015,21290
1/14/2015,17870
1/15/2015,16710
1/16/2015,18040
1/17/2015,11520
1/18/2015,6810
1/19/2015,15370
1/20/2015,14850
1/21/2015,9430
1/22/2015,-
1/23/2015,3700
1/24/2015,5210
1/25/2015,-
1/26/2015,4460
1/27/2015,270
1/28/2015,2010
1/29/2015,-
1/30/2015,-
1/31/2015,660
2/1/2015,7230
2/2/2015,13320
2/3/2015,5180
2/4/2015,-
2/5/2015,14800
2/6/2015,20400
2/7/2015,23350
2/8/2015,9080
2/9/2015,9660
2/10/2015,25850
2/11/2015,17810
2/12/2015,16040
2/13/2015,17330
2/14/2015,23780
2/15/2015,12900
2/16/2015,18940
2/17/2015,8260
2/18/2015,8080
2/19/2015,11010
2/20/2015,20530
2/21/2015,12260
2/22/2015,17720
2/23/2015,15810
2/24/2015,9440
2/25/2015,15950
2/26/2015,10010
2/27/2015,15360
2/28/2015,13940
3/1/2015,11130
3/2/2015,17600
3/3/2015,11850
3/4/2015,12940
3/5/2015,23940
3/6/2015,28150
3/7/2015,16670
3/8/2015,10570
3/9/2015,33100
3/10/2015,15050
3/11/2015,24670
3/12/2015,15670
3/13/2015,21920
3/14/2015,19340
3/15/2015,18590
3/16/2015,16010
3/17/2015,18600
3/18/2015,11620
3/19/2015,9240
3/20/2015,21400
3/21/2015,23610
3/22/2015,10560
3/23/2015,8500
3/24/2015,6650
3/25/2015,20490
3/26/2015,8290
3/27/2015,13240
3/28/2015,20860
3/29/2015,11520
3/30/2015,3620
3/31/2015,22770
4/1/2015,16450
4/2/2015,25330
4/3/2015,17670
4/4/2015,2680
4/5/2015,-
4/6/2015,24670
4/7/2015,28460
4/8/2015,15680
4/9/2015,19530
4/10/2015,33590
4/11/2015,11150
4/12/2015,17310
4/13/2015,28820
4/14/2015,26190
4/15/2015,10810
4/16/2015,20320
4/17/2015,10200
4/18/2015,9060
4/19/2015,10350
4/20/2015,16500
4/21/2015,15250
4/22/2015,11020
4/23/2015,21880
